257	Portuguese	Conde dos Arcos	Mignani, Joaquim Vicente	West-central Africa	West-central Africa
258	Portuguese	Reino do Brasil	Lopes, Francisco da Silva	West-central Africa	West-central Africa
259	Portuguese	S José Diligente Vulcano	Santos, José Maria dos	West-central Africa	West-central Africa
260	Portuguese	NS do Baluarte	Castro, Nicolau Joaquim de	South-east Africa	South-east Africa
261	Portuguese	NS da Conceiçao e Sr dos Passos	Santos, José Vitorino dos	West-central Africa	West-central Africa
263	Portuguese	S Antônio Destemido	Silva, José Leite da	West-central Africa	West-central Africa
265	Brazilian	Emília	Leonardo, Severo	Bight of Biafra	Bight of Biafra
266	Portuguese	Santana Flor de Luanda	Pereira, Silvestre Manoel	West-central Africa	West-central Africa
267	Portuguese	Feliz Dias	Pereira, Albino Mariano dos Santos	West-central Africa	West-central Africa
268	Portuguese	Mariana Dáfine	Branco, Antônio Rodrigues	West-central Africa	West-central Africa
269	Portuguese	Ligeiro	Silva, José Pereira da	West-central Africa	West-central Africa
270	Portuguese	Amália	Batalha, Luís Antônio	West-central Africa	West-central Africa
271	Portuguese	Urânia	Coelho, Manoel Gomes	West-central Africa	West-central Africa
272	Portuguese	Mercantil	Rodrigues, Francisco de Paula	West-central Africa	West-central Africa
273	Portuguese	General Rego	Pena, José Antônio	West-central Africa	West-central Africa
274	Portuguese	Bela Americana	Fernandes, José Antônio	West-central Africa	West-central Africa
275	Portuguese	Indústria	Lourenço, Valério	West-central Africa	West-central Africa
276	Portuguese	Seis de Fevereiro	Cruz, José Joaquim da	West-central Africa	West-central Africa
277	Portuguese	Imperador Feliz	Pereira, Francisco Manoel	West-central Africa	West-central Africa
278	Portuguese	S Pedro do Sul	Lima, José Joaquim de	West-central Africa	West-central Africa
279	Portuguese	Luís	Silva, Caetano Alberto da	West-central Africa	West-central Africa
280	Portuguese	Henriqueta	Pientenauzer, Firmo Antônio	West-central Africa	West-central Africa
281	Portuguese	Tejo	Oliveira, Antônio Xavier de	West-central Africa	West-central Africa
282	Portuguese	Feliz Americano	Henriques, Joao Militao	South-east Africa	South-east Africa
283	Portuguese	Polifemo	Pedrosa, Manoel Carvalho	South-east Africa	South-east Africa
